st_marker_id,lat,lon,area,street_id,area_cat,st_marker_id_cat
12340N,-37.80989153387347,144.97950017156433,East Melbourne,16.0,8,411
4478E,-37.81288172787934,144.9542372010811,Magistrates,839.0,15,2044
13038N,-37.82114193198904,144.94378884154526,Docklands,528.0,6,643
3930N,-37.81219457073095,144.9546289525064,Magistrates,856.0,15,1964
3464N,-37.81210933029036,144.95895951200086,Mint,926.0,18,1803
12440N,-37.81183965405239,144.9757730865461,Jolimont,1290.0,12,480
11893W,-37.81039625399951,144.97810771307672,Jolimont,869.0,12,218
1452E,-37.81681410518277,144.9560500541088,Family,839.0,9,1266
1695S,-37.820604996268045,144.95707455267768,Markilles,670.0,16,1344
C1123,-37.81536612643005,144.9608668844973,McKillop,1171.0,17,3201
1433W,-37.8177747897462,144.9562390226116,Family,839.0,9,1255
1447W,-37.816993888476965,144.95588359307231,Family,839.0,9,1262
7041S,-37.80764193298753,144.9582691077157,Victoria Market,1346.0,32,2589
1707S,-37.82078614255218,144.95645798917016,Markilles,670.0,16,1347
2341S,-37.81192267778116,144.971384445823,Windsor,123.0,34,1523
1388E,-37.8198891370821,144.95746278916056,Rialto,839.0,23,1137
1297W,-37.81840452060237,144.95933405526904,Tavistock,1428.0,27,616
13829S,-37.81556065414702,144.9374897932367,Docklands,880.0,6,1094
11523S,-37.81184392505163,144.95207745463983,West Melbourne,818.0,33,105
13316E,-37.81962892784573,144.9470545545495,Docklands,753.0,6,771
9429S,-37.830152039893925,144.96628715188953,Southbank,547.0,24,3012
12265S,-37.80968798503288,144.97628574583445,Jolimont,16.0,12,357
4005W,-37.80777200757387,144.96008443325002,Victoria Market,627.0,32,2001
8281W,-37.82696653353468,144.967593244079,Southbank,591.0,24,2736
3936N,-37.81224916081595,144.95443640358283,Magistrates,856.0,15,1967
5156E,-37.80272571913553,144.95694453391326,Courtney,1062.0,4,2221
13306N,-37.82176881278011,144.9509270321537,Docklands,974.0,6,758
5592E,-37.80593719476246,144.95387657278093,Queensberry,1428.0,20,2353
10166E,-37.80447057318887,144.94946883084802,Queensberry,641.0,20,47
1412E,-37.818853238637146,144.9569853728574,Rialto,839.0,23,1220
1404E,-37.81905725619886,144.9570791278359,Rialto,839.0,23,1189
C2764,-37.80999900222832,144.97005620688822,Princes Theatre,894.0,19,3406
11768E,-37.80989306166771,144.97572600869802,Jolimont,706.0,12,151
1528E,-37.81750248943615,144.9535639188411,Spencer,1285.0,25,1300
13626E,-37.81931753211877,144.9435814944841,Docklands,998.0,6,933
12391S,-37.8109499870976,144.97674612162467,Jolimont,178.0,12,450
570E,-37.80923536550633,144.9693824599006,Regency,647.0,22,2358
10121W,-37.8032043159316,144.94797216601955,Queensberry,562.0,20,37
10171W,-37.80429710830276,144.9493086647881,Queensberry,641.0,20,52
69W,-37.8101102904327,144.97234216796352,Princes Theatre,1288.0,19,2575
3400N,-37.81005359457895,144.96596691289426,Library,926.0,14,1759
13271S,-37.81956921664208,144.94924732514238,Docklands,1457.0,6,738
7576N,-37.8056291072417,144.95455722565328,Queensberry,1381.0,20,2621
13320E,-37.81947607937112,144.9469872579126,Docklands,753.0,6,776
2888N,-37.810907523740994,144.9666268212244,Library,894.0,14,1667
13348E,-37.81578967988276,144.9454006273299,Docklands,753.0,6,803
12410N,-37.810842678928594,144.9774676217727,Jolimont,178.0,12,464
10173W,-37.80424624833567,144.94931762698118,Queensberry,641.0,20,53
9238N,-37.82873655614081,144.9707310469577,Southbank,547.0,24,2929
C296,-37.814780279771405,144.97181040060002,Hyatt,647.0,11,3464
12063W,-37.81199774148857,144.98316216711314,East Melbourne,511.0,8,299
12047W,-37.8124140372548,144.98309250222638,East Melbourne,511.0,8,290
13618E,-37.81952667313469,144.9436774530061,Docklands,998.0,6,925
9439S,-37.83020454472067,144.9661057003098,Southbank,547.0,24,3017
C638,-37.80848609889898,144.96891940510787,Regency,647.0,22,3856
11891W,-37.81044993994802,144.97809886720984,Jolimont,869.0,12,217
12392N,-37.81071163256664,144.97626320429475,Jolimont,178.0,12,451
9531S,-37.828255763399184,144.96535763871094,Southbank,1007.0,24,3042
12291S,-37.80978493981613,144.97717961827533,Jolimont,16.0,12,381
437W,-37.81249094262977,144.97062874997175,Windsor,647.0,34,2014
12422N,-37.81088356628949,144.97784418645782,Jolimont,178.0,12,470
557W,-37.80937793626215,144.969205792322,Regency,647.0,22,2349
8318E,-37.82508581295865,144.9682848956389,Southbank,591.0,24,2750
13911W,-37.81360586599018,144.94183439255718,Docklands,36.0,6,1151
8325W,-37.82493802574713,144.9682056923988,Southbank,591.0,24,2757
C2654,-37.80962526078701,144.97133285589797,Princes Theatre,894.0,19,3375
6205W,-37.80632777667444,144.95099393080554,Queensberry,617.0,20,2467
C2672,-37.80968431321315,144.97113114323085,Princes Theatre,894.0,19,3381
6243W,-37.80583352412916,144.95076915648878,Queensberry,617.0,20,2484
12418N,-37.81087034730045,144.97772244091766,Jolimont,178.0,12,468
C13528,-37.81928880037832,144.94569170820674,Docklands,123.0,6,3270
5108E,-37.804292539726006,144.95767318591783,Courtney,1062.0,4,2196
C600,-37.80886949570971,144.9690957923111,Regency,647.0,22,3780
C6392,-37.80379679248169,144.9509968828238,Queensberry,881.0,20,3858
9533S,-37.82822896840245,144.96520722354074,Southbank,1007.0,24,3043
5136E,-37.80301980439469,144.95708108619985,Courtney,1062.0,4,2206
12420N,-37.810876946438654,144.9777832199635,Jolimont,178.0,12,469
C5952,-37.80395155130852,144.95398915548344,Queensberry,798.0,20,3772
C6340,-37.80431152161183,144.9509058146887,Queensberry,881.0,20,3843
13766E,-37.813606849355054,144.93945887825527,Docklands,1398.0,6,1045
13358E,-37.82204065070916,144.94779778100198,Docklands,753.0,6,813
11876E,-37.81069143350461,144.97829825096986,Jolimont,869.0,12,203
C13596,-37.81953717751574,144.944832602833,Docklands,123.0,6,3285
13787W,-37.81317468124503,144.94070604585215,Docklands,1228.0,6,1064
5185W,-37.8111179360204,144.95733209932737,Mint,1433.0,18,2231
12357S,-37.8100944160155,144.98001137424978,East Melbourne,16.0,8,428
13679W,-37.82091475725626,144.94620103234968,Docklands,1043.0,6,982
13769W,-37.81221173894874,144.9384938791259,Docklands,1398.0,6,1048
12444N,-37.811902649705615,144.9763519467404,Jolimont,1290.0,12,484
C7004,-37.80928846113943,144.9564063055319,Victoria Market,681.0,32,4045
C7754,-37.80310835516568,144.95013199633763,Queensberry,1175.0,20,4150
12045W,-37.812465971039046,144.98308392926054,East Melbourne,511.0,8,288
1581S,-37.81865397291395,144.96367840905828,Banks,670.0,0,1327
5082E,-37.804704440449,144.95785871800302,Courtney,1062.0,4,2182
8895W,-37.824542423654,144.96159306132756,Southbank,202.0,24,2879
C2794,-37.810346871060695,144.968857501453,Princes Theatre,894.0,19,3418
C128,-37.80873103790717,144.97183186905716,Regency,1288.0,22,3262
994E,-37.81846334868087,144.96241564996032,Banks,1171.0,0,3147
9325S,-37.82950699060449,144.96851455886542,Southbank,547.0,24,2973
11788E,-37.8109708089936,144.97558487670682,Jolimont,1090.0,12,159
C13628,-37.819673337996456,144.94435930939085,Docklands,123.0,6,3293
10103W,-37.80347362638075,144.9479256115099,Queensberry,562.0,20,26
11031W,-37.80954666135168,144.95921281291947,Titles,33.0,29,89
9943S,-37.82602525106547,144.9673739387342,Southbank,728.0,24,3140
4574E,-37.80809601216072,144.9660677529875,The Mac,1221.0,28,2074
12451S,-37.811998362497285,144.97618232890946,Jolimont,1290.0,12,490
9541S,-37.828203842491305,144.96508114596062,Southbank,1007.0,24,3047
