street_marker,vioTime,depTime
11929W,15,488
771W,15,22
771W,39,117
13911W,109,128
769W,120,130
771W,136,159
13634E,176,207
13478E,247,653
9296N,255,390
9292N,255,390
13632E,312,322
11927W,378,434
1861S,420,539
4870E,420,1170
6171W,435,453
1858N,445,455
11031W,465,476
65W,465,492
10177W,465,477
12360N,465,537
13580E,465,487
13399W,465,570
13303S,465,474
13251S,465,485
13371W,465,570
13576E,465,510
13301S,465,555
13222N,475,508
771W,476,946
13043S,477,492
13614E,480,491
7646N,480,803
1977S,480,1006
1973S,480,899
5108E,480,1110
910E,480,498
5261W,480,1380
5100E,480,711
912E,480,497
5267W,480,1181
7019S,482,491
13230N,482,493
13232N,483,493
13418E,483,601
12264N,484,510
12324N,487,503
13304N,487,803
686E,488,506
13635W,489,527
12278N,490,538
13415W,493,536
13416E,496,503
3435S,496,509
1849S,496,571
12322N,496,509
10177W,496,503
13215S,497,512
13324E,497,511
11503S,500,505
13336E,500,528
13808N,500,1100
13381W,502,528
13330E,507,872
5282E,510,518
C412,510,595
7325W,510,1110
C7028,510,550
5121W,510,599
11502N,510,1380
2888N,510,606
5123W,510,820
C308,510,519
7335W,510,1110
10197W,510,543
C224,510,518
C1222,510,1104
5992N,510,605
C670,510,556
11523S,510,986
10046N,510,1170
46E,510,810
5290E,510,517
2348N,510,521
2343S,510,522
C680,510,521
2141S,510,545
83W,510,556
7576N,510,1079
2565S,510,602
951W,511,692
13029S,513,534
7644N,513,522
9457S,520,961
5131W,521,615
7021S,522,537
5292E,522,591
13616E,522,542
13614E,522,541
8713W,523,662
8711W,523,660
350E,524,558
2153S,525,853
13810N,525,539
914E,525,595
13627W,526,561
1775S,527,533
1900N,527,830
C1123,528,886
13222N,528,544
13033S,531,546
1812E,532,1081
13331W,533,647
342E,535,961
11893W,536,556
12431S,538,975
11875W,539,579
C1126,539,550
13045S,540,552
12457S,540,1020
12465S,540,1020
12358N,543,555
C684,543,675
11503S,544,550
12366N,546,582
13329W,547,641
7599S,548,557
13586E,549,559
C220,549,619
13303S,549,1002
909W,552,562
C828,552,571
12360N,552,560
961W,552,560
13310N,552,1048
11901W,553,593
13223S,553,566
13415W,556,570
13377W,558,570
13373W,558,570
8812E,559,568
13215S,560,566
13725W,561,568
6542N,561,585
5066E,563,631
1211W,564,1078
13381W,565,573
13336E,565,622
5086E,565,1051
7019S,566,571
13228N,567,582
1175W,569,578
13221S,569,611
C2648,570,776
4835W,570,627
13675W,570,607
C9102,570,609
13207S,570,891
13651W,570,951
C2842,570,575
12392N,570,622
11700E,570,578
C13636,570,655
C140,570,576
C6636,570,589
67W,570,659
13670E,570,1023
3327S,570,593
13618E,570,588
C13524,570,592
13482E,570,1110
13426E,570,575
C13716,570,602
5570E,570,692
3388N,570,577
C13504,570,902
13480E,570,628
C164,570,696
13622E,570,667
13648E,570,578
53W,570,796
4852E,570,612
13625W,570,587
6041S,570,696
13474E,570,607
13669W,570,607
C6712,570,601
13802N,570,595
13472E,570,580
13050N,570,812
13402E,570,578
C564,570,678
3341S,570,1230
13858N,570,1110
3424N,570,1193
13201S,570,817
13683W,570,977
10038N,571,1073
8810E,572,650
2557S,572,655
12087W,572,950
13301S,572,589
5050E,573,581
13222N,574,621
10009W,575,588
12451S,575,1025
12276N,576,614
C818,576,672
12360N,576,591
1192E,577,862
12274N,577,609
C13704,577,960
1810E,578,713
9449S,580,596
C504,580,662
11876E,581,612
5988N,581,874
2890N,581,650
12433S,582,595
12381S,582,616
11812E,583,612
3940N,583,669
11501S,584,612
1157W,585,601
C328,587,597
13213S,587,611
13215S,587,600
C2652,587,618
11895W,588,605
65W,588,626
7592N,588,623
12272N,589,625
13794E,590,603
13771W,590,682
13769W,590,683
1982N,591,697
11503S,591,596
13773W,591,684
C336,591,1009
C1208,592,618
1896N,592,1033
C13516,592,632
10103W,592,602
5386E,593,599
13580E,594,605
1316E,594,1023
C13726,594,610
C1144,595,604
916E,596,636
1315W,596,610
13256N,596,741
12442N,596,624
13041S,596,610
13614E,596,612
13834N,596,720
12479S,596,611
12057W,597,654
C798,598,629
C1252,598,604
12089W,598,621
3406N,598,604
11881W,599,620
12483S,599,618
1512E,600,623
11879W,600,621
12358N,600,624
9541S,600,614
13408E,600,664
13420E,601,624
1732N,601,635
2561S,601,640
11880E,601,613
89W,601,896
13853S,602,637
12326N,602,640
13333W,602,949
6043S,602,790
2376N,603,735
2350N,603,644
13312N,603,1110
13796E,604,717
C280,604,619
12282N,604,679
2553S,604,673
43W,605,620
13588E,605,797
12095W,605,741
45W,605,644
12047W,606,639
11873W,606,614
11744E,606,641
12435S,608,1052
C13540,609,848
5468E,609,737
1518E,609,637
11899W,609,616
12324N,610,624
C560,612,1079
13418E,612,624
C308,612,636
11503S,612,626
C2756,613,633
12487S,613,620
13424E,614,713
C404,615,1035
13664E,616,1110
20E,616,640
C1132,617,897
12469S,617,679
13636E,617,637
13029S,619,654
9200N,619,652
908E,619,818
1858N,620,782
C548,620,628
10034N,620,631
C688,621,628
13410E,621,632
13205S,623,632
12477S,624,664
12467S,624,679
13223S,624,639
2348N,625,639
1861S,625,717
1660N,626,635
12463S,626,638
775W,626,689
13866N,626,673
12439S,626,880
6621S,627,640
12448N,627,663
979W,629,1110
13253S,629,679
2551S,629,661
1979S,629,734
C2638,629,1089
8342E,630,639
8295W,630,773
8676E,630,689
8666E,630,655
8630E,630,1028
8648E,630,658
429W,630,789
12065W,631,662
11784E,631,660
7013S,631,654
10032N,631,673
10199W,632,647
12328N,632,642
7620N,634,1110
11871W,635,691
C1115,635,643
12269S,635,652
7784N,635,658
C580,636,791
3936N,636,695
13470E,636,1000
13306N,637,837
13578E,637,652
13033S,637,712
8649W,637,664
6531S,638,657
12055W,638,672
13586E,638,649
779W,638,652
C512,638,813
5592E,638,670
C670,640,679
9513S,641,677
C1126,641,672
4895W,642,649
13028N,643,649
1849S,643,693
C1152,643,673
65W,643,688
5384E,644,663
13416E,644,685
C9142,644,672
11756E,645,784
12387S,645,650
11898E,646,670
13667W,646,693
13296E,647,659
48E,647,676
12279S,648,660
13663W,648,658
11933W,648,669
13203S,649,708
13418E,649,664
12260N,650,668
11929W,650,655
13213S,650,659
43W,651,665
C276,651,730
13324E,651,959
13486E,652,661
2555S,652,684
12270N,653,664
11893W,653,663
13228N,653,659
C332,654,681
12280N,654,715
8672E,656,713
5082E,657,1053
12362N,657,669
C666,657,665
12422N,658,711
C1238,658,823
962E,658,679
13217S,659,665
C236,659,833
