street_marker,vioTime,depTime,lat,lon,area
11929W,15,488,-37.81561165,144.9825484,East Melbourne
13478E,247,653,-37.81938414,144.9503503,Docklands
1861S,420,539,-37.81929159,144.9576469,Rialto
4870E,420,1170,-37.80861954,144.9579723,Victoria Market
65W,465,492,-37.81024925,144.9724068,Princes Theatre
12360N,465,537,-37.81023444,144.982598,East Melbourne
13580E,465,487,-37.82032363,144.9429294,Docklands
13399W,465,570,-37.82131491,144.9510674,Docklands
13251S,465,485,-37.82011525,144.9431518,Docklands
13371W,465,570,-37.81970875,144.9498029,Docklands
13576E,465,510,-37.8204818,144.9430042,Docklands
13301S,465,555,-37.82234164,144.9468699,Docklands
13222N,475,508,-37.81876569,144.9471604,Docklands
771W,476,946,-37.81231931,144.9677514,Chinatown
13043S,477,492,-37.82126342,144.9468749,Docklands
13614E,480,491,-37.81963127,144.9437254,Docklands
7646N,480,803,-37.80500159,144.9571221,Courtney
1977S,480,1006,-37.81662994,144.9629131,Banks
1973S,480,899,-37.81659289,144.9630408,Banks
5108E,480,1110,-37.80429254,144.9576732,Courtney
910E,480,498,-37.8168627,144.9644608,Degraves
5261W,480,1380,-37.8047737,144.9572647,Courtney
5100E,480,711,-37.80437818,144.9577121,Courtney
912E,480,497,-37.81680895,144.9644361,Degraves
5267W,480,1181,-37.80460802,144.9572963,Courtney
7019S,482,491,-37.80743172,144.9589935,Victoria Market
13230N,482,493,-37.81938964,144.9450293,Docklands
13232N,483,493,-37.81940788,144.9449664,Docklands
13418E,483,601,-37.81978279,144.9479615,Docklands
12264N,484,510,-37.80954973,144.9763512,Jolimont
12324N,487,503,-37.80981173,144.9787604,East Melbourne
13304N,487,803,-37.82179703,144.950814,Docklands
686E,488,506,-37.81414395,144.9688393,City Square
13635W,489,527,-37.82012666,144.944363,Docklands
12278N,490,538,-37.80966491,144.9774228,Jolimont
13415W,493,536,-37.81966139,144.9497656,Docklands
13416E,496,503,-37.81973947,144.9479154,Docklands
3435S,496,509,-37.81080727,144.9635679,Library
1849S,496,571,-37.81883676,144.9592141,Rialto
12322N,496,509,-37.80980447,144.9786929,East Melbourne
10177W,496,503,-37.80414888,144.9493349,Queensberry
13215S,497,512,-37.81881017,144.9476873,Docklands
13324E,497,511,-37.81813759,144.9464366,Docklands
11503S,500,505,-37.81154627,144.9531295,West Melbourne
13336E,500,528,-37.81662593,144.9457691,Docklands
13808N,500,1100,-37.81422997,144.9388327,Docklands
13381W,502,528,-37.82039784,144.9503461,Docklands
13330E,507,872,-37.81679387,144.9458432,Docklands
5282E,510,518,-37.80454551,144.9574402,Courtney
C412,510,595,-37.81291066,144.9709504,Windsor
7325W,510,1110,-37.80563668,144.9492419,West Melbourne
C7028,510,550,-37.80742553,144.9586895,Victoria Market
5121W,510,599,-37.80341088,144.9571384,Courtney
11502N,510,1380,-37.81154339,144.9527237,West Melbourne
2888N,510,606,-37.81090752,144.9666268,Library
5123W,510,820,-37.80336354,144.9571164,Courtney
C308,510,519,-37.81471636,144.9717806,Hyatt
7335W,510,1110,-37.80545403,144.9492349,West Melbourne
10197W,510,543,-37.80360963,144.9494298,Queensberry
C224,510,518,-37.81559854,144.9721908,Hyatt
C1222,510,1104,-37.81234325,144.9594838,Titles
5992N,510,605,-37.8097239,144.9590142,Titles
C670,510,556,-37.81440745,144.9688341,City Square
11523S,510,986,-37.81184393,144.9520775,West Melbourne
10046N,510,1170,-37.82306286,144.9656887,Southbank
46E,510,810,-37.81266036,144.9737636,Twin Towers
5290E,510,517,-37.8044574,144.957457,Courtney
2348N,510,521,-37.81186443,144.9710311,Windsor
2343S,510,522,-37.81194106,144.9713216,Windsor
C680,510,521,-37.81428853,144.9687806,City Square
2141S,510,545,-37.81276845,144.9720671,Twin Towers
83W,510,556,-37.80903752,144.9718479,Regency
7576N,510,1079,-37.80562911,144.9545572,Queensberry
2565S,510,602,-37.81424026,144.9594621,Supreme
951W,511,692,-37.81305338,144.9625077,Chinatown
13029S,513,534,-37.82053721,144.9493859,Docklands
7644N,513,522,-37.80494833,144.9484029,Queensberry
9457S,520,961,-37.83029812,144.9657823,Southbank
5131W,521,615,-37.80315971,144.9570208,Courtney
7021S,522,537,-37.80745547,144.9589119,Victoria Market
5292E,522,591,-37.8044346,144.9574613,Courtney
13616E,522,542,-37.81957898,144.9437014,Docklands
13614E,522,541,-37.81963127,144.9437254,Docklands
8713W,523,662,-37.82476699,144.9633924,Southbank
8711W,523,660,-37.82480113,144.9633524,Southbank
350E,524,558,-37.81370896,144.971443,Windsor
2153S,525,853,-37.81290289,144.9716065,Twin Towers
13810N,525,539,-37.81425262,144.9387628,Docklands
914E,525,595,-37.81675309,144.9644104,Degraves
13627W,526,561,-37.81943323,144.9444161,Docklands
1775S,527,533,-37.81675417,144.9660931,Degraves
1900N,527,830,-37.81379596,144.9720445,Twin Towers
C1123,528,886,-37.81536613,144.9608669,McKillop
13222N,528,544,-37.81876569,144.9471604,Docklands
13033S,531,546,-37.82057355,144.9492606,Docklands
1812E,532,1081,-37.81862485,144.9609049,Tavistock
13331W,533,647,-37.81897597,144.9484042,Docklands
342E,535,961,-37.81428663,144.9717088,Hyatt
11893W,536,556,-37.81039625,144.9781077,Jolimont
12431S,538,975,-37.81190422,144.9753242,Jolimont
11875W,539,579,-37.81134423,144.9779505,Jolimont
C1126,539,550,-37.81452183,144.9604796,Hardware
13045S,540,552,-37.82128409,144.9468033,Docklands
12457S,540,1020,-37.81202094,144.9763878,Jolimont
12465S,540,1020,-37.81206441,144.9767834,Jolimont
12358N,543,555,-37.81022689,144.9825305,East Melbourne
C684,543,675,-37.8142635,144.9687694,City Square
11503S,544,550,-37.81154627,144.9531295,West Melbourne
12366N,546,582,-37.81028297,144.9830375,East Melbourne
13329W,547,641,-37.81891969,144.9484019,Docklands
7599S,548,557,-37.80533796,144.9502834,Queensberry
13586E,549,559,-37.81967338,144.942657,Docklands
C220,549,619,-37.81562136,144.9722013,Hyatt
13303S,549,1002,-37.82233067,144.9467861,Docklands
909W,552,562,-37.81691519,144.9642796,Banks
C828,552,571,-37.81118719,144.9673576,Library
12360N,552,560,-37.81023444,144.982598,East Melbourne
961W,552,560,-37.81196496,144.9620054,Library
13310N,552,1048,-37.82225468,144.9468485,Docklands
11901W,553,593,-37.81016197,144.9781462,Jolimont
13223S,553,566,-37.81893006,144.9472674,Docklands
13415W,556,570,-37.81966139,144.9497656,Docklands
13377W,558,570,-37.81987589,144.9499389,Docklands
